term,fire_na,f_value,.lower,.upper,.width,.point,.interval
fm1000,RIVER,0.3963873,0.054601299999999985,0.7371642249999995,0.9,median,qi
fm1000,SCU COMPLEX,0.3999809,0.14627540499999997,0.65083385,0.9,median,qi
fm1000,SHEEP,-0.47457265000000004,-1.56559715,0.4199121199999999,0.9,median,qi
fm1000,SILVERADO,0.31984460000000003,-0.28589094000000004,0.98016865,0.9,median,qi
fm1000,SLATER,-0.648223,-1.14694005,-0.20335090300000006,0.9,median,qi
fm1000,SLINK,-0.012675049999999997,-1.13358695,0.9287330249999994,0.9,median,qi
fm1000,SNOW,0.6903024499999999,-0.11838251400000001,1.5840257999999996,0.9,median,qi
fm1000,STAGECOACH,-0.033464900000000006,-1.0471158500000002,0.9716323149999999,0.9,median,qi
fm1000,VALLEY,-0.40856649999999994,-1.511076,0.5071533899999995,0.9,median,qi
fm1000,W-5 COLD SPRINGS,0.6000251000000001,-0.13607797800000007,1.525648055,0.9,median,qi
fm1000,WALLBRIDGE,-0.2681041435,-0.9099087200000001,0.3951906749999997,0.9,median,qi
fm1000,ZOGG,0.510108,-0.44235147999999996,1.6264901649999994,0.9,median,qi
tslf,APPLE,0.4706273,0.07982199999999993,0.8710406999999999,0.9,median,qi
tslf,AUGUST COMPLEX FIRES,0.31154925,0.24249208,0.38279005,0.9,median,qi
tslf,BLUE RIDGE,0.19195843499999998,-0.28300309500000004,0.6657213999999994,0.9,median,qi
tslf,BLUEJAY,-0.06117,-0.5417382999999999,0.38667804999999994,0.9,median,qi
tslf,BOBCAT,-0.14091175,-0.38746389999999997,0.08478899999999984,0.9,median,qi
tslf,CALDWELL,0.2320849,0.015797879999999993,0.44855219999999985,0.9,median,qi
tslf,CARMEL,0.13327213,-0.34955815,0.6198936349999997,0.9,median,qi
tslf,CASTLE,0.46913150000000003,0.32455199999999995,0.6202451,0.9,median,qi
tslf,CREEK,0.16273665,0.03775377999999999,0.28604652,0.9,median,qi
tslf,CZU LIGHTNING COMPLEX,-0.6193982499999999,-0.9360974500000001,-0.3119916500000004,0.9,median,qi
tslf,DEVIL,0.20347410500000002,-0.286647,0.7013487999999998,0.9,median,qi
tslf,DOLAN,0.16213795000000003,-0.062090650000000025,0.3939864749999998,0.9,median,qi
tslf,GLASS,0.31988605,0.09845945999999998,0.5559014499999999,0.9,median,qi
tslf,GOLD,0.13401395,-0.362221015,0.5811812499999995,0.9,median,qi
tslf,HENNESSEY,0.2441074,0.172717425,0.31705729999999993,0.9,median,qi
tslf,HOG,0.19382758500000002,-0.2533334300000001,0.6695659899999998,0.9,median,qi
tslf,LAKE,0.3347599,-0.02106444999999997,0.6926831649999999,0.9,median,qi
tslf,LOYALTON,0.537259,0.19334574999999996,0.8947371149999999,0.9,median,qi
tslf,MINERAL,0.42099600000000004,0.17840990799999998,0.6752510499999999,0.9,median,qi
tslf,NORTH,0.28205844999999996,-0.21077655,0.8028661999999993,0.9,median,qi
tslf,NORTH COMPLEX,0.24639555000000002,0.14695908499999996,0.3492883299999999,0.9,median,qi
tslf,RATTLESNAKE,0.43938435,-0.06205075000000004,1.0029536999999997,0.9,median,qi
tslf,RED SALMON COMPLEX,0.02233215,-0.2126044,0.24106227,0.9,median,qi
tslf,RIVER,0.040239499999999984,-0.42224435000000005,0.489654149999999,0.9,median,qi
tslf,SCU COMPLEX,0.17514324999999997,0.08261252,0.27342675,0.9,median,qi
tslf,SHEEP,0.056034000000000014,-0.2695223500000001,0.36424304999999996,0.9,median,qi
tslf,SILVERADO,0.15825645000000002,-0.37491598500000006,0.6604911999999998,0.9,median,qi
tslf,SLATER,0.6962165,0.5286319150000001,0.8735576,0.9,median,qi
tslf,SLINK,-0.36595,-0.88970865,0.04189559499999949,0.9,median,qi
tslf,SNOW,0.06735769999999999,-0.5048667000000001,0.6290247999999999,0.9,median,qi
tslf,STAGECOACH,0.13574005,-0.35113179999999994,0.5954841409999999,0.9,median,qi
tslf,VALLEY,0.239465185,-0.18754420500000002,0.7031840999999998,0.9,median,qi
tslf,W-5 COLD SPRINGS,0.3120198,-0.11254735000000002,0.7402977,0.9,median,qi
tslf,WALLBRIDGE,0.11226164999999999,-0.37296144999999997,0.5841742499999999,0.9,median,qi
tslf,ZOGG,0.1677245,-0.007338923500000008,0.3490719049999999,0.9,median,qi
vpd,APPLE,0.59046785,-0.037243350000000036,1.19408185,0.9,median,qi
vpd,AUGUST COMPLEX FIRES,0.34879214999999997,0.27814389999999994,0.4151764255,0.9,median,qi
vpd,BLUE RIDGE,0.161958,-0.5443457500000001,0.8214945,0.9,median,qi
vpd,BLUEJAY,0.2620584,-0.5549973,1.0296107999999995,0.9,median,qi
vpd,BOBCAT,0.26408041,0.03727589999999998,0.51313825,0.9,median,qi
vpd,CALDWELL,-0.072347,-0.7236131700000001,0.5300436499999992,0.9,median,qi
vpd,CARMEL,0.7140299999999999,0.012413699999999956,1.4734093999999998,0.9,median,qi
vpd,CASTLE,0.28055650000000004,0.04339410000000002,0.515462405,0.9,median,qi
vpd,CREEK,1.0144165,0.8924188,1.14036665,0.9,median,qi
vpd,CZU LIGHTNING COMPLEX,0.02822949999999999,-0.38842765,0.4083368549999997,0.9,median,qi
vpd,DEVIL,0.7396665,0.10714069999999999,1.4123688499999996,0.9,median,qi
vpd,DOLAN,0.35052099999999997,0.18034395,0.5186031849999999,0.9,median,qi
vpd,GLASS,0.749879,0.2497622,1.3126367999999997,0.9,median,qi
vpd,GOLD,0.459776925,-0.07465150000000004,0.9968626499999996,0.9,median,qi
vpd,HENNESSEY,0.64981455,0.47698155999999997,0.8278456,0.9,median,qi
vpd,HOG,0.4010405,-0.36085590000000006,1.1605442499999998,0.9,median,qi
vpd,LAKE,0.558684,-0.05972075000000013,1.1726448499999993,0.9,median,qi
vpd,LOYALTON,0.980948,0.3989020299999999,1.64397855,0.9,median,qi
vpd,MINERAL,0.526349,-0.30818185000000015,1.3267856999999998,0.9,median,qi
vpd,NORTH,0.53926945,-0.38564582500000005,1.5012201499999998,0.9,median,qi
vpd,NORTH COMPLEX,1.2224884999999999,1.01473285,1.4550689499999998,0.9,median,qi
vpd,RATTLESNAKE,1.0903574999999999,0.3577557319999999,1.9275524999999998,0.9,median,qi
vpd,RED SALMON COMPLEX,0.5616525000000001,0.35977225,0.7680697999999998,0.9,median,qi
vpd,RIVER,0.005486000000000019,-0.36195340000000004,0.38627937,0.9,median,qi
vpd,SCU COMPLEX,0.148096,0.05101419999999998,0.24717610499999998,0.9,median,qi
vpd,SHEEP,0.76163,0.26795677,1.2941156499999997,0.9,median,qi
vpd,SILVERADO,0.22254500000000002,-0.46937750000000006,0.9068264999999994,0.9,median,qi
vpd,SLATER,1.6375935,1.344631,1.9446798,0.9,median,qi
vpd,SLINK,-0.5233785,-1.14796585,0.06195094999999966,0.9,median,qi
